Epochs,1loss,1cls_loss,1box_loss,2loss,2cls_loss,2box_loss,3loss,3cls_loss,3box_loss,4loss,4cls_loss,4box_loss
52,0.3623,0.1921,0.0012,0.599,0.3325,0.0032,0.5185,0.2779,0.0026,0.6782,0.3879,0.0036
53,0.3179,0.1698,8.03E-04,0.6154,0.3513,0.0031,0.5361,0.304,0.0025,0.5554,0.3079,0.0028
54,0.3705,0.2024,0.0012,0.5105,0.2633,0.0028,0.5609,0.3034,0.003,0.5278,0.28,0.0028
55,0.3094,0.1564,9.00E-04,0.5347,0.3158,0.0022,0.4542,0.2499,0.0019,0.5051,0.2699,0.0025
56,0.3132,0.1589,9.27E-04,0.5118,0.2649,0.0028,0.7092,0.4293,0.0034,0.5137,0.2784,0.0025
57,0.3063,0.1542,8.83E-04,0.5632,0.317,0.0028,0.4789,0.2661,0.0021,0.5045,0.2763,0.0024
58,0.286,0.1348,8.64E-04,0.5594,0.3137,0.0028,0.6011,0.3443,0.003,0.488,0.2594,0.0024
59,0.2913,0.1451,7.66E-04,0.5265,0.3121,0.0021,0.5308,0.2793,0.0029,0.5099,0.2842,0.0023
60,0.2824,0.1364,7.61E-04,0.5613,0.3128,0.0028,0.4357,0.2348,0.0019,0.5817,0.3095,0.0033
61,0.3109,0.1546,9.66E-04,0.5856,0.3458,0.0026,0.4685,0.2489,0.0022,0.4977,0.2866,0.0021
62,0.266,0.125,6.62E-04,0.5016,0.2732,0.0024,0.4558,0.2259,0.0024,0.5043,0.2749,0.0024
63,0.4149,0.2364,0.0014,0.4602,0.2453,0.0021,0.4428,0.2428,0.0018,0.4991,0.2654,0.0025
64,0.3288,0.1758,9.01E-04,0.5193,0.2804,0.0026,0.4586,0.2516,0.002,0.508,0.2844,0.0023
65,0.3106,0.1595,8.62E-04,0.5151,0.297,0.0022,0.4119,0.2076,0.0019,0.4906,0.276,0.0021
66,0.2686,0.1259,6.95E-04,0.4853,0.2664,0.0022,0.518,0.2896,0.0024,0.4563,0.2423,0.0021
67,0.2973,0.1486,8.16E-04,0.4053,0.2085,0.0018,0.4552,0.2221,0.0025,0.5308,0.3089,0.0023
68,0.2828,0.1318,8.61E-04,0.5004,0.28,0.0022,0.473,0.2582,0.0021,0.541,0.2926,0.0028
69,0.3229,0.1645,0.001,0.4647,0.2442,0.0022,0.4349,0.2345,0.0018,0.4819,0.2561,0.0023
70,0.3863,0.2171,0.0012,0.475,0.2483,0.0024,0.5157,0.3205,0.0017,0.4508,0.2342,0.0022
71,0.2864,0.1362,8.45E-04,0.5229,0.3009,0.0023,0.3414,0.1721,0.0012,0.4705,0.2541,0.0022
72,0.2967,0.1443,8.89E-04,0.5164,0.2955,0.0023,0.3412,0.1728,0.0012,0.5659,0.3137,0.0029
73,0.274,0.1323,6.73E-04,0.4686,0.2639,0.0019,0.389,0.209,0.0014,0.518,0.2806,0.0026
74,0.2958,0.1481,7.95E-04,0.4501,0.2446,0.0019,0.4126,0.2115,0.0019,0.5535,0.3101,0.0027
75,0.3041,0.1461,0.001,0.5246,0.2892,0.0025,0.4156,0.2125,0.0019,0.4484,0.2602,0.0016
76,0.2866,0.1454,6.66E-04,0.4159,0.2328,0.0015,0.6066,0.3574,0.0028,0.4508,0.2343,0.0022
77,0.3035,0.1589,7.33E-04,0.444,0.2386,0.0019,0.4864,0.2636,0.0023,0.4533,0.2504,0.0019
78,0.3328,0.1822,8.53E-04,0.438,0.2384,0.0018,0.3966,0.2029,0.0017,0.4394,0.226,0.0021
79,0.297,0.1462,8.57E-04,0.4221,0.2192,0.0019,0.4593,0.282,0.0014,0.44,0.2437,0.0018
80,0.3348,0.1751,0.001,0.4893,0.2686,0.0022,0.4733,0.2723,0.0018,0.491,0.2551,0.0026
81,0.2912,0.1443,7.79E-04,0.4362,0.2483,0.0016,0.472,0.2681,0.0019,0.5007,0.278,0.0023
82,0.2524,0.1242,4.04E-04,0.3922,0.2144,0.0014,0.4092,0.229,0.0014,0.4404,0.2385,0.0019
83,0.284,0.1431,6.58E-04,0.4178,0.2171,0.0019,0.3739,0.1994,0.0013,0.5181,0.3009,0.0022
84,0.2893,0.1405,8.17E-04,0.4424,0.2504,0.0017,0.4402,0.2222,0.0022,0.482,0.2571,0.0023
85,0.2862,0.1466,6.32E-04,0.602,0.3632,0.0026,0.4507,0.2587,0.0017,0.4434,0.2317,0.0021
86,0.3025,0.144,0.001,0.4318,0.233,0.0018,0.3798,0.1907,0.0016,0.52,0.3134,0.002
87,0.2919,0.1399,8.80E-04,0.4092,0.2179,0.0017,0.3539,0.1678,0.0016,0.4333,0.2298,0.0019
88,0.2865,0.1405,7.61E-04,0.4444,0.2361,0.002,0.4381,0.2394,0.0018,0.3828,0.2052,0.0014
89,0.281,0.1397,6.67E-04,0.514,0.2888,0.0023,0.3835,0.2056,0.0014,0.4954,0.275,0.0022
90,0.2732,0.1272,7.60E-04,0.4101,0.212,0.0018,0.4949,0.2979,0.0018,0.4773,0.2653,0.0021
91,0.2863,0.1513,5.41E-04,0.53,0.3142,0.0022,0.3689,0.1924,0.0014,0.4483,0.2394,0.002
92,0.2703,0.1371,5.04E-04,0.4362,0.2426,0.0017,0.4685,0.2678,0.0018,0.4705,0.2608,0.002
93,0.2839,0.1409,7.00E-04,0.4871,0.2878,0.0018,0.4298,0.2479,0.0015,0.5015,0.259,0.0027
94,0.2886,0.1417,7.80E-04,0.45,0.2536,0.0018,0.4683,0.2577,0.002,0.4287,0.2293,0.0018
95,0.2645,0.1265,6.00E-04,0.4453,0.2564,0.0016,0.3799,0.207,0.0013,0.4729,0.2483,0.0023
96,0.3517,0.1914,0.001,0.4201,0.2334,0.0016,0.3563,0.1794,0.0014,0.4849,0.2641,0.0022
97,0.2639,0.1283,5.53E-04,0.4971,0.2759,0.0023,0.3676,0.198,0.0012,0.4403,0.2348,0.0019
98,0.2747,0.1282,7.70E-04,0.5179,0.3001,0.0022,0.3363,0.155,0.0015,0.4621,0.2494,0.0021
99,0.2821,0.1383,7.17E-04,0.4991,0.282,0.0022,0.3883,0.2172,0.0012,0.5528,0.3109,0.0027
100,0.3089,0.156,8.99E-04,0.4278,0.2133,0.0021,0.3282,0.1659,0.0011,0.5616,0.3333,0.0024
101,,,,,,,0.3362,0.1726,0.0011,,,
102,,,,,,,0.3713,0.1944,0.0014,,,
103,,,,,,,0.3042,0.1584,7.44E-04,,,
104,,,,,,,0.3688,0.2021,0.0012,,,
105,,,,,,,0.3199,0.1549,0.0011,,,
106,,,,,,,0.3706,0.1939,0.0014,,,
107,,,,,,,0.3367,0.1685,0.0012,,,
108,,,,,,,0.3786,0.205,0.0013,,,
109,,,,,,,0.2916,0.136,9.39E-04,,,
110,,,,,,,0.3934,0.2149,0.0014,,,
111,,,,,,,0.3276,0.1699,9.80E-04,,,
112,,,,,,,0.3594,0.1857,0.0013,,,
113,,,,,,,0.3664,0.1862,0.0014,,,
114,,,,,,,0.3462,0.1681,0.0014,,,
115,,,,,,,0.3578,0.1942,0.0011,,,
116,,,,,,,0.3191,0.161,9.89E-04,,,
117,,,,,,,0.3628,0.197,0.0011,,,
118,,,,,,,0.3883,0.2169,0.0013,,,
119,,,,,,,0.2957,0.1469,8.02E-04,,,
120,,,,,,,0.3588,0.1769,0.0015,,,
121,,,,,,,0.3075,0.1427,0.0011,,,
122,,,,,,,0.2979,0.1498,7.90E-04,,,
123,,,,,,,0.3419,0.1772,0.0011,,,
124,,,,,,,0.2715,0.1252,7.53E-04,,,
125,,,,,,,0.3528,0.1861,0.0012,,,
126,,,,,,,0.2829,0.1285,9.15E-04,,,
127,,,,,,,0.3659,0.1849,0.0014,,,
128,,,,,,,0.2933,0.1372,9.48E-04,,,
129,,,,,,,0.3374,0.1729,0.0011,,,
130,,,,,,,0.3722,0.1912,0.0014,,,
131,,,,,,,0.3176,0.1698,7.84E-04,,,
132,,,,,,,0.3874,0.1925,0.0017,,,
133,,,,,,,0.3653,0.1958,0.0012,,,
134,,,,,,,0.3285,0.1705,9.85E-04,,,
135,,,,,,,0.2853,0.1427,6.77E-04,,,
136,,,,,,,0.3222,0.1614,0.001,,,
137,,,,,,,0.3534,0.1764,0.0014,,,
138,,,,,,,0.2759,0.131,7.25E-04,,,
139,,,,,,,0.3317,0.171,0.001,,,
140,,,,,,,0.3045,0.1478,9.62E-04,,,
141,,,,,,,0.2914,0.1448,7.57E-04,,,
142,,,,,,,0.28,0.1359,7.07E-04,,,
143,,,,,,,0.2881,0.1391,8.06E-04,,,
144,,,,,,,0.3136,0.1598,9.03E-04,,,
145,,,,,,,0.2964,0.1439,8.77E-04,,,
146,,,,,,,0.269,0.1274,6.58E-04,,,
147,,,,,,,0.3251,0.1688,9.52E-04,,,
148,,,,,,,0.3001,0.1451,9.26E-04,,,
149,,,,,,,0.2565,0.1191,5.75E-04,,,
150,,,,,,,0.2528,0.1121,6.39E-04,,,
151,,,,,,,0.2851,0.1419,6.89E-04,,,
152,,,,,,,0.2938,0.1408,8.87E-04,,,
153,,,,,,,0.3023,0.1508,8.57E-04,,,
154,,,,,,,0.3191,0.1575,0.0011,,,
155,,,,,,,0.2784,0.1336,7.22E-04,,,
156,,,,,,,0.3144,0.1511,0.0011,,,
157,,,,,,,0.2972,0.1508,7.55E-04,,,
158,,,,,,,0.2396,0.1036,5.45E-04,,,
159,,,,,,,0.3057,0.1486,9.67E-04,,,
160,,,,,,,0.277,0.1317,7.31E-04,,,
161,,,,,,,0.2808,0.1369,7.03E-04,,,
