Epochs,1det_loss,1cls_loss,1box_loss,1reg_l2_loss,1loss,1learning_rate,1gradient_norm,1val_det_loss,1val_cls_loss,1val_box_loss,1val_reg_l2_loss,1val_loss,2det_loss,2cls_loss,2box_loss,2reg_l2_loss,2loss,2learning_rate,2gradient_norm,2val_det_loss,2val_cls_loss,2val_box_loss,2val_reg_l2_loss,2val_loss,3det_loss,3cls_loss,3box_loss,3reg_l2_loss,3loss,3learning_rate,3gradient_norm,3val_det_loss,3val_cls_loss,3val_box_loss,3val_reg_l2_loss,3val_loss,4det_loss,4cls_loss,4box_loss,4reg_l2_loss,4loss,4learning_rate,4gradient_norm,4val_det_loss,4val_cls_loss,4val_box_loss,4val_reg_l2_loss,4val_loss,5det_loss,5cls_loss,5box_loss,5reg_l5_loss,5loss,5learning_rate,5gradient_norm,5val_det_loss,5val_cls_loss,5val_box_loss,5val_reg_l5_loss,5val_loss,6det_loss,6cls_loss,6box_loss,6reg_l2_loss,6loss,6learning_rate,6gradient_norm,6val_det_loss,6val_cls_loss,6val_box_loss,6val_reg_l2_loss,6val_loss,7det_loss,7cls_loss,7box_loss,7reg_l2_loss,7loss,7learning_rate,7gradient_norm,7val_det_loss,7val_cls_loss,7val_box_loss,7val_reg_l2_loss,7val_loss,8det_loss,8cls_loss,8box_loss,8reg_l2_loss,8loss,8learning_rate,8gradient_norm,8val_det_loss,8val_cls_loss,8val_box_loss,8val_reg_l2_loss,8val_loss,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data,5-Old-Data
55,0.2267,0.1701,0.0011,0.108,0.3347,0.0021,3.228,0.5017,0.4116,0.0018,0.108,0.6097,0.4496,0.3013,0.003,0.1081,0.5577,0.0021,4.4119,0.522,0.338,0.0037,0.1081,0.6302,0.3174,0.22,0.0019,0.1081,0.4255,0.0021,3.5039,0.8945,0.6157,0.0056,0.1081,1.0027,0.2855,0.2177,0.0014,0.108,0.3935,0.0021,2.4173,0.4716,0.3821,0.0018,0.108,0.5796,0.229,0.1736,0.0011,0.108,0.337,0.0021,3.0591,0.2618,0.2247,7.42E-04,0.108,0.3698,0.4588,0.3037,0.0031,0.1081,0.5669,0.0021,6.9865,1.022,0.7052,0.0063,0.1081,1.13,0.2448,0.1905,0.0011,0.1079,0.3527,0.0021,2.6507,0.298,0.2182,0.0016,0.1079,0.4059,0.229,0.1736,0.0011,0.108,0.337,0.0021,3.0591,0.2618,0.2247,7.42E-04,0.108,0.3698,0.2472,0.1694,0.0016,0.108,0.3552,0.0021,2.5221,0.5744,0.3856,0.0038,0.108,0.6824
56,0.2464,0.1979,9.69E-04,0.108,0.3544,0.002,2.7763,0.5072,0.4104,0.0019,0.108,0.6152,0.3651,0.2639,0.002,0.1081,0.4732,0.002,4.2269,0.5177,0.3126,0.0041,0.1081,0.6259,0.3466,0.2373,0.0022,0.1081,0.4547,0.002,4.6814,0.9054,0.6028,0.0061,0.1081,1.0136,0.2532,0.1891,0.0013,0.108,0.3612,0.002,3.0338,0.4928,0.3874,0.0021,0.108,0.6007,0.2585,0.1977,0.0012,0.108,0.3665,0.002,3.7204,0.2705,0.2244,9.22E-04,0.108,0.3785,0.4463,0.2871,0.0032,0.1081,0.5544,0.002,5.3424,1.0012,0.6925,0.0062,0.1081,1.1093,0.3191,0.2329,0.0017,0.1079,0.427,0.002,5.1465,0.2986,0.215,0.0017,0.1079,0.4065,0.2585,0.1977,0.0012,0.108,0.3665,0.002,3.7204,0.2705,0.2244,9.22E-04,0.108,0.3785,0.2466,0.1787,0.0014,0.108,0.3546,0.002,2.3178,0.5702,0.3846,0.0037,0.108,0.6782
57,0.2283,0.1652,0.0013,0.108,0.3363,0.002,3.2007,0.5306,0.4128,0.0024,0.108,0.6386,0.3738,0.2667,0.0021,0.1081,0.4819,0.002,4.3508,0.4946,0.2878,0.0041,0.1081,0.6028,0.4758,0.362,0.0023,0.1081,0.584,0.002,7.8316,0.9353,0.6287,0.0061,0.1081,1.0435,0.2407,0.1798,0.0012,0.108,0.3486,0.002,2.2247,0.4819,0.3843,0.002,0.108,0.5899,0.2511,0.1876,0.0013,0.108,0.3591,0.002,2.4242,0.2923,0.2477,8.91E-04,0.108,0.4003,0.4764,0.3214,0.0031,0.1081,0.5845,0.002,6.0089,1.0619,0.7292,0.0067,0.1081,1.1699,0.2486,0.1859,0.0013,0.1079,0.3565,0.002,2.5833,0.2898,0.2175,0.0014,0.1079,0.3978,0.2511,0.1876,0.0013,0.108,0.3591,0.002,2.4242,0.2923,0.2477,8.91E-04,0.108,0.4003,0.26,0.1937,0.0013,0.108,0.368,0.002,2.6712,0.5856,0.389,0.0039,0.108,0.6936
58,0.2573,0.1794,0.0016,0.108,0.3653,0.0019,3.2416,0.5219,0.4188,0.0021,0.108,0.6299,0.4207,0.3079,0.0023,0.1081,0.5289,0.0019,5.1679,0.4926,0.2697,0.0045,0.1081,0.6007,0.301,0.2174,0.0017,0.1081,0.4092,0.0019,4.9291,0.9666,0.6489,0.0064,0.1081,1.0747,0.2473,0.1951,0.001,0.108,0.3553,0.0019,2.4476,0.4649,0.374,0.0018,0.108,0.5729,0.3157,0.2297,0.0017,0.108,0.4237,0.0019,3.7512,0.2919,0.2467,9.04E-04,0.108,0.3999,0.4403,0.2954,0.0029,0.1081,0.5484,0.0019,5.2807,1.0539,0.7287,0.0065,0.1081,1.162,0.2354,0.1853,0.001,0.1079,0.3434,0.0019,3.0474,0.2784,0.2107,0.0014,0.1079,0.3863,0.3157,0.2297,0.0017,0.108,0.4237,0.0019,3.7512,0.2919,0.2467,9.04E-04,0.108,0.3999,0.3085,0.2153,0.0019,0.108,0.4165,0.0019,4.2298,0.5851,0.3905,0.0039,0.108,0.6931
59,0.2816,0.2202,0.0012,0.108,0.3896,0.0018,3.1623,0.5148,0.419,0.0019,0.108,0.6228,0.347,0.2458,0.002,0.1081,0.4551,0.0018,3.9138,0.4708,0.2534,0.0043,0.1081,0.579,0.4487,0.3429,0.0021,0.1081,0.5568,0.0018,6.6252,1.0102,0.668,0.0068,0.1081,1.1183,0.2664,0.192,0.0015,0.108,0.3744,0.0018,4.0875,0.4567,0.3597,0.0019,0.108,0.5647,0.2797,0.1984,0.0016,0.108,0.3877,0.0018,3.378,0.2772,0.2285,9.73E-04,0.108,0.3852,0.4651,0.297,0.0034,0.1081,0.5732,0.0018,4.9671,0.9855,0.6761,0.0062,0.1081,1.0936,0.3043,0.2053,0.002,0.1079,0.4122,0.0018,3.3405,0.2677,0.1998,0.0014,0.1079,0.3757,0.2797,0.1984,0.0016,0.108,0.3877,0.0018,3.378,0.2772,0.2285,9.73E-04,0.108,0.3852,0.2506,0.2023,9.66E-04,0.108,0.3586,0.0018,3.3504,0.5901,0.3902,0.004,0.108,0.6981
60,0.2834,0.2077,0.0015,0.108,0.3914,0.0017,2.8908,0.5064,0.4086,0.002,0.108,0.6144,0.3686,0.236,0.0027,0.1081,0.4767,0.0017,3.7349,0.4695,0.2782,0.0038,0.1081,0.5776,0.3299,0.2314,0.002,0.1081,0.438,0.0017,5.3474,1.0277,0.6735,0.0071,0.1081,1.1358,0.2701,0.2169,0.0011,0.108,0.3781,0.0017,2.8809,0.4538,0.3552,0.002,0.108,0.5618,0.2429,0.1818,0.0012,0.108,0.3509,0.0017,3.6265,0.2787,0.2211,0.0012,0.108,0.3867,0.4432,0.2796,0.0033,0.1081,0.5512,0.0017,5.7232,0.9537,0.6426,0.0062,0.1081,1.0617,0.2514,0.1909,0.0012,0.1079,0.3593,0.0017,2.403,0.2687,0.1932,0.0015,0.1079,0.3767,0.2429,0.1818,0.0012,0.108,0.3509,0.0017,3.6265,0.2787,0.2211,0.0012,0.108,0.3867,0.2131,0.1569,0.0011,0.108,0.3212,0.0017,3.244,0.6038,0.4045,0.004,0.108,0.7118
61,0.2512,0.1852,0.0013,0.108,0.3592,0.0016,2.3483,0.5033,0.3978,0.0021,0.108,0.6113,0.3974,0.2928,0.0021,0.1081,0.5056,0.0016,4.126,0.5096,0.3054,0.0041,0.1081,0.6178,0.3335,0.2425,0.0018,0.1082,0.4417,0.0016,3.7672,1.0126,0.6798,0.0067,0.1082,1.1207,0.2728,0.208,0.0013,0.108,0.3807,0.0016,3.7199,0.4539,0.356,0.002,0.108,0.5619,0.2894,0.2118,0.0016,0.108,0.3974,0.0016,3.7418,0.2695,0.2226,9.38E-04,0.108,0.3775,0.3546,0.2483,0.0021,0.1081,0.4627,0.0016,3.7707,0.964,0.6439,0.0064,0.1081,1.072,0.2757,0.2139,0.0012,0.1079,0.3836,0.0016,2.6887,0.264,0.192,0.0014,0.1079,0.3719,0.2894,0.2118,0.0016,0.108,0.3974,0.0016,3.7418,0.2695,0.2226,9.38E-04,0.108,0.3775,0.2221,0.1713,0.001,0.108,0.3301,0.0016,2.8527,0.598,0.407,0.0038,0.108,0.7061
62,0.225,0.1627,0.0012,0.108,0.333,0.0016,3.0841,0.4822,0.3859,0.0019,0.108,0.5902,0.4023,0.2642,0.0028,0.1081,0.5105,0.0016,4.8065,0.5111,0.3192,0.0038,0.1081,0.6192,0.338,0.2398,0.002,0.1082,0.4461,0.0016,5.3224,0.9686,0.6573,0.0062,0.1082,1.0767,0.2107,0.1622,9.70E-04,0.108,0.3187,0.0016,2.2593,0.46,0.3683,0.0018,0.108,0.568,0.3492,0.2609,0.0018,0.108,0.4572,0.0016,5.5328,0.2556,0.2089,9.35E-04,0.108,0.3636,0.4133,0.2584,0.0031,0.1081,0.5214,0.0016,4.2628,0.9871,0.6606,0.0065,0.1081,1.0952,0.2436,0.1978,0.000915,0.1079,0.3516,0.0016,4.068,0.2692,0.1937,0.0015,0.1079,0.3771,0.3492,0.2609,0.0018,0.108,0.4572,0.0016,5.5328,0.2556,0.2089,9.35E-04,0.108,0.3636,0.2388,0.1789,0.0012,0.108,0.3468,0.0016,2.0625,0.5967,0.4049,0.0038,0.108,0.7047
63,0.2135,0.1626,0.001,0.108,0.3215,0.0015,2.1948,0.461,0.3693,0.0018,0.108,0.569,0.497,0.3544,0.0029,0.1081,0.6051,0.0015,4.3788,0.5086,0.3069,0.004,0.1081,0.6167,0.3563,0.2495,0.0021,0.1082,0.4645,0.0015,3.2537,0.9276,0.6498,0.0056,0.1082,1.0357,0.2507,0.1885,0.0012,0.108,0.3587,0.0015,3.2152,0.4539,0.369,0.0017,0.108,0.5619,0.2634,0.201,0.0012,0.108,0.3714,0.0015,3.4762,0.2399,0.1928,9.42E-04,0.108,0.3479,0.4063,0.2551,0.003,0.1081,0.5144,0.0015,4.6727,0.9985,0.6638,0.0067,0.1081,1.1066,0.2551,0.2049,0.001,0.1079,0.363,0.0015,4.1943,0.266,0.192,0.0015,0.1079,0.3739,0.2634,0.201,0.0012,0.108,0.3714,0.0015,3.4762,0.2399,0.1928,9.42E-04,0.108,0.3479,0.2576,0.1998,0.0012,0.108,0.3656,0.0015,3.2943,0.5898,0.3971,0.0039,0.108,0.6978
64,0.2435,0.1758,0.0014,0.108,0.3515,0.0014,3.496,0.4513,0.3584,0.0019,0.108,0.5593,0.4371,0.3217,0.0023,0.1081,0.5453,0.0014,6.7419,0.514,0.3149,0.004,0.1081,0.6221,0.3022,0.2032,0.002,0.1082,0.4104,0.0014,3.3874,0.8648,0.622,0.0049,0.1082,0.9729,0.3273,0.2468,0.0016,0.108,0.4353,0.0014,4.0852,0.4668,0.3854,0.0016,0.108,0.5748,0.2392,0.1851,0.0011,0.108,0.3472,0.0014,2.9104,0.2477,0.1995,9.65E-04,0.108,0.3557,0.3918,0.2536,0.0028,0.1081,0.4998,0.0014,5.0759,0.9931,0.6654,0.0066,0.1081,1.1012,0.2571,0.2036,0.0011,0.1079,0.3651,0.0014,2.5357,0.282,0.1927,0.0018,0.1079,0.39,0.2392,0.1851,0.0011,0.108,0.3472,0.0014,2.9104,0.2477,0.1995,9.65E-04,0.108,0.3557,0.2144,0.1631,0.001,0.108,0.3224,0.0014,2.5628,0.5616,0.3843,0.0035,0.108,0.6696
65,0.2073,0.1631,8.83E-04,0.108,0.3153,0.0014,2.4858,0.4426,0.3497,0.0019,0.108,0.5506,0.4023,0.2585,0.0029,0.1081,0.5105,0.0014,5.1488,0.5173,0.2944,0.0045,0.1081,0.6255,0.2692,0.192,0.0015,0.1082,0.3774,0.0014,3.7305,0.8095,0.598,0.0042,0.1082,0.9177,0.2895,0.2299,0.0012,0.108,0.3975,0.0014,3.5996,0.4932,0.3997,0.0019,0.108,0.6011,0.2271,0.1661,0.0012,0.108,0.3351,0.0014,2.4177,0.2422,0.1969,9.06E-04,0.108,0.3502,0.4461,0.27,0.0035,0.1081,0.5542,0.0014,5.6948,0.9802,0.6626,0.0064,0.1081,1.0882,0.2908,0.234,0.0011,0.1079,0.3987,0.0014,5.2489,0.2994,0.1976,0.002,0.1079,0.4073,0.2271,0.1661,0.0012,0.108,0.3351,0.0014,2.4177,0.2422,0.1969,9.06E-04,0.108,0.3502,0.1906,0.143,9.53E-04,0.108,0.2986,0.0014,2.8441,0.545,0.3769,0.0034,0.108,0.653
66,0.2014,0.151,0.001,0.108,0.3094,0.0013,1.7446,0.4227,0.3355,0.0017,0.108,0.5307,0.3458,0.2309,0.0023,0.1081,0.4539,0.0013,4.4347,0.4972,0.2832,0.0043,0.1081,0.6053,0.3474,0.2536,0.0019,0.1082,0.4556,0.0013,6.4466,0.7453,0.5574,0.0038,0.1082,0.8535,0.2086,0.1534,0.0011,0.108,0.3165,0.0013,3.0921,0.51,0.4061,0.0021,0.108,0.618,0.2182,0.1635,0.0011,0.108,0.3262,0.0013,2.2003,0.2391,0.1988,8.06E-04,0.108,0.3471,0.3691,0.2751,0.0019,0.1081,0.4771,0.0013,4.653,0.9914,0.6665,0.0065,0.1081,1.0994,0.244,0.1927,0.001,0.1079,0.3519,0.0013,2.2835,0.3005,0.2007,0.002,0.1079,0.4085,0.2182,0.1635,0.0011,0.108,0.3262,0.0013,2.2003,0.2391,0.1988,8.06E-04,0.108,0.3471,0.2331,0.1813,0.001,0.108,0.3411,0.0013,2.3269,0.5519,0.3822,0.0034,0.108,0.6599
67,0.1894,0.1398,9.93E-04,0.108,0.2974,0.0012,2.0521,0.4021,0.3166,0.0017,0.108,0.5101,0.313,0.2271,0.0017,0.1081,0.4212,0.0012,3.2872,0.7307,0.4734,0.0051,0.1081,0.8389,0.3206,0.2251,0.0019,0.1082,0.4288,0.0012,4.1326,0.5699,0.4006,0.0034,0.1082,0.678,0.2746,0.2057,0.0014,0.108,0.3825,0.0012,3.7348,0.5209,0.4185,0.002,0.108,0.6289,0.2305,0.177,0.0011,0.108,0.3385,0.0012,2.3882,0.2238,0.1855,7.66E-04,0.108,0.3318,0.3506,0.2402,0.0022,0.1081,0.4586,0.0012,3.9695,1.0329,0.694,0.0068,0.1081,1.1409,0.2839,0.2137,0.0014,0.1079,0.3919,0.0012,2.8551,0.2973,0.2056,0.0018,0.1079,0.4052,0.2305,0.177,0.0011,0.108,0.3385,0.0012,2.3882,0.2238,0.1855,7.66E-04,0.108,0.3318,0.2527,0.1962,0.0011,0.108,0.3607,0.0012,3.1474,0.5438,0.3749,0.0034,0.108,0.6518
68,0.1923,0.1505,8.35E-04,0.108,0.3003,0.0012,1.8907,0.3908,0.3036,0.0017,0.108,0.4988,0.3238,0.2158,0.0022,0.1081,0.4319,0.0012,4.5551,0.4542,0.2724,0.0036,0.1081,0.5624,0.3402,0.24,0.002,0.1082,0.4483,0.0012,3.6574,0.4849,0.3248,0.0032,0.1082,0.5931,0.3422,0.2614,0.0016,0.108,0.4502,0.0012,5.1576,0.5224,0.4253,0.0019,0.108,0.6303,0.25,0.1888,0.0012,0.108,0.358,0.0012,2.9908,0.2201,0.1817,7.66E-04,0.108,0.3281,0.3612,0.2464,0.0023,0.1081,0.4693,0.0012,4.6961,1.0447,0.7024,0.0068,0.1081,1.1528,0.1937,0.1578,0.000718,0.1079,0.3017,0.0012,2.0381,0.2886,0.2045,0.0017,0.1079,0.3965,0.25,0.1888,0.0012,0.108,0.358,0.0012,2.9908,0.2201,0.1817,7.66E-04,0.108,0.3281,0.2241,0.1681,0.0011,0.108,0.3321,0.0012,2.0573,0.5599,0.3921,0.0034,0.108,0.668
69,0.2344,0.1695,0.0013,0.108,0.3424,0.0011,3.2673,0.3833,0.3002,0.0017,0.108,0.4913,0.3885,0.2521,0.0027,0.1081,0.4967,0.0011,4.1263,0.4793,0.3223,0.0031,0.1081,0.5875,0.3197,0.2362,0.0017,0.1082,0.4279,0.0011,5.7814,0.4504,0.2888,0.0032,0.1082,0.5585,0.2402,0.1903,9.98E-04,0.108,0.3482,0.0011,3.4285,0.5232,0.428,0.0019,0.108,0.6312,0.2191,0.1759,8.65E-04,0.108,0.3271,0.0011,3.2209,0.2169,0.1793,7.50E-04,0.108,0.3249,0.3809,0.2623,0.0024,0.1081,0.489,0.0011,5.1108,1.0392,0.7013,0.0068,0.1081,1.1473,0.2334,0.1728,0.0012,0.1079,0.3413,0.0011,3.7124,0.322,0.2315,0.0018,0.1079,0.4299,0.2191,0.1759,8.65E-04,0.108,0.3271,0.0011,3.2209,0.2169,0.1793,7.50E-04,0.108,0.3249,0.2408,0.1897,0.001,0.108,0.3489,0.0011,3.0483,0.5667,0.3994,0.0033,0.108,0.6747
70,0.2915,0.2182,0.0015,0.108,0.3995,0.001,3.4275,0.3729,0.2903,0.0017,0.108,0.4809,0.3479,0.2417,0.0021,0.1081,0.456,0.001,3.2521,0.4507,0.2942,0.0031,0.1081,0.5589,0.2479,0.1927,0.0011,0.1082,0.356,0.001,3.2778,0.4115,0.268,0.0029,0.1082,0.5197,0.2938,0.2112,0.0017,0.108,0.4018,0.001,4.0124,0.5253,0.4293,0.0019,0.108,0.6332,0.2352,0.1875,9.54E-04,0.108,0.3432,0.001,3.0787,0.218,0.1812,7.37E-04,0.108,0.326,0.3405,0.2177,0.0025,0.1081,0.4486,0.001,4.1652,1.0305,0.6941,0.0067,0.1081,1.1385,0.2535,0.1956,0.0012,0.1079,0.3615,0.001,3.2302,0.3429,0.2485,0.0019,0.1079,0.4508,0.2352,0.1875,9.54E-04,0.108,0.3432,0.001,3.0787,0.218,0.1812,7.37E-04,0.108,0.326,0.2069,0.1629,8.80E-04,0.108,0.3149,0.001,2.1529,0.5645,0.3975,0.0033,0.108,0.6726
71,0.3042,0.2178,0.0017,0.108,0.4122,9.56E-04,4.1085,0.3705,0.2955,0.0015,0.108,0.4785,0.2776,0.2005,0.0015,0.1081,0.3857,9.56E-04,3.3621,0.4442,0.2865,0.0032,0.1081,0.5523,0.309,0.2299,0.0016,0.1082,0.4171,9.56E-04,5.4534,0.4301,0.2892,0.0028,0.1082,0.5382,0.2455,0.1805,0.0013,0.108,0.3535,9.56E-04,3.4578,0.5177,0.4223,0.0019,0.108,0.6257,0.2144,0.1679,9.29E-04,0.108,0.3224,9.56E-04,3.1376,0.2206,0.1836,7.39E-04,0.108,0.3286,0.3669,0.2509,0.0023,0.1081,0.4749,9.56E-04,4.7614,1.0349,0.6977,0.0067,0.1081,1.143,0.2527,0.2029,0.000997,0.1079,0.3607,0.000956,2.7249,0.3269,0.2344,0.0019,0.1079,0.4349,0.2144,0.1679,9.29E-04,0.108,0.3224,9.56E-04,3.1376,0.2206,0.1836,7.39E-04,0.108,0.3286,0.1807,0.1402,8.11E-04,0.108,0.2887,9.56E-04,1.9974,0.5652,0.3958,0.0034,0.108,0.6732
72,0.2451,0.1845,0.0012,0.108,0.3531,8.95E-04,4.5649,0.358,0.2859,0.0014,0.108,0.466,0.3574,0.2545,0.0021,0.1081,0.4656,8.95E-04,5.4837,0.4648,0.2936,0.0034,0.1081,0.573,0.2822,0.2097,0.0015,0.1082,0.3904,8.95E-04,4.0142,0.4234,0.2825,0.0028,0.1082,0.5315,0.2115,0.1612,0.001,0.108,0.3194,8.95E-04,2.183,0.5023,0.411,0.0018,0.108,0.6103,0.2107,0.1617,9.79E-04,0.108,0.3187,8.95E-04,2.6424,0.2191,0.1843,6.95E-04,0.108,0.3271,0.415,0.2768,0.0028,0.1081,0.5231,8.95E-04,5.4153,1.0462,0.7049,0.0068,0.1081,1.1543,0.2172,0.1718,0.000909,0.1079,0.3252,0.000895,3.3404,0.3426,0.2502,0.0018,0.1079,0.4506,0.2107,0.1617,9.79E-04,0.108,0.3187,8.95E-04,2.6424,0.2191,0.1843,6.95E-04,0.108,0.3271,0.2503,0.1719,0.0016,0.108,0.3583,8.95E-04,2.2294,0.568,0.3963,0.0034,0.108,0.676
73,0.245,0.1724,0.0015,0.108,0.353,8.35E-04,4.0668,0.3414,0.2726,0.0014,0.108,0.4494,0.3608,0.2359,0.0025,0.1081,0.469,8.35E-04,4.7265,0.4961,0.3118,0.0037,0.1081,0.6043,0.2741,0.2085,0.0013,0.1082,0.3823,8.35E-04,4.6535,0.4154,0.2734,0.0028,0.1082,0.5235,0.2607,0.2117,9.80E-04,0.108,0.3687,8.35E-04,3.4185,0.4945,0.4063,0.0018,0.108,0.6025,0.2085,0.1591,9.87E-04,0.108,0.3165,8.35E-04,3.5937,0.2129,0.1788,6.81E-04,0.108,0.3209,0.4135,0.2645,0.003,0.1081,0.5215,8.35E-04,3.7149,1.0532,0.7069,0.0069,0.1081,1.1613,0.2045,0.1619,0.000852,0.1079,0.3124,0.000835,2.7046,0.347,0.2554,0.0018,0.1079,0.455,0.2085,0.1591,9.87E-04,0.108,0.3165,8.35E-04,3.5937,0.2129,0.1788,6.81E-04,0.108,0.3209,0.2379,0.1797,0.0012,0.108,0.3459,8.35E-04,4.5586,0.5654,0.3943,0.0034,0.108,0.6734
74,0.2372,0.173,0.0013,0.108,0.3452,7.76E-04,3.3005,0.3273,0.2569,0.0014,0.108,0.4353,0.4339,0.2895,0.0029,0.1081,0.542,7.76E-04,5.4615,0.499,0.3182,0.0036,0.1081,0.6072,0.2932,0.2105,0.0017,0.1082,0.4014,7.76E-04,2.9944,0.4107,0.2669,0.0029,0.1082,0.5188,0.2678,0.2035,0.0013,0.108,0.3758,7.76E-04,3.7901,0.4861,0.3994,0.0017,0.108,0.5941,0.1916,0.1431,9.71E-04,0.108,0.2996,7.76E-04,2.6715,0.2122,0.1785,6.74E-04,0.108,0.3202,0.3386,0.2381,0.002,0.1081,0.4467,7.76E-04,4.1901,1.0454,0.7003,0.0069,0.1081,1.1534,0.2274,0.1842,0.000864,0.1079,0.3353,0.000776,2.408,0.3421,0.2496,0.0018,0.1079,0.45,0.1916,0.1431,9.71E-04,0.108,0.2996,7.76E-04,2.6715,0.2122,0.1785,6.74E-04,0.108,0.3202,0.2111,0.1596,0.001,0.108,0.3191,7.76E-04,1.929,0.5474,0.3838,0.0033,0.108,0.6554
75,0.1909,0.1412,9.94E-04,0.108,0.2989,7.20E-04,1.8962,0.3291,0.2548,0.0015,0.108,0.4371,0.3548,0.2356,0.0024,0.1081,0.463,7.20E-04,4.5138,0.5026,0.3222,0.0036,0.1081,0.6108,0.248,0.1807,0.0013,0.1082,0.3562,7.20E-04,3.3362,0.4183,0.271,0.0029,0.1082,0.5265,0.2391,0.193,9.21E-04,0.108,0.347,7.20E-04,4.5544,0.4703,0.3855,0.0017,0.108,0.5783,0.3232,0.2141,0.0022,0.108,0.4312,7.20E-04,3.7387,0.2039,0.1723,6.31E-04,0.108,0.3119,0.3666,0.24,0.0025,0.1081,0.4747,7.20E-04,3.7957,1.0319,0.6965,0.0067,0.1081,1.14,0.2288,0.1833,0.00091,0.1079,0.3367,0.00072,2.2242,0.3355,0.2408,0.0019,0.1079,0.4434,0.3232,0.2141,0.0022,0.108,0.4312,7.20E-04,3.7387,0.2039,0.1723,6.31E-04,0.108,0.3119,0.2154,0.1559,0.0012,0.108,0.3234,7.20E-04,2.6487,0.5337,0.3749,0.0032,0.108,0.6417
76,0.1808,0.1416,7.84E-04,0.108,0.2888,6.65E-04,2.068,0.3355,0.2595,0.0015,0.108,0.4435,0.3714,0.2667,0.0021,0.1081,0.4796,6.65E-04,5.427,0.5311,0.3285,0.0041,0.1081,0.6392,0.2927,0.2074,0.0017,0.1082,0.4008,6.65E-04,4.3174,0.4462,0.2854,0.0032,0.1082,0.5543,0.2281,0.1754,0.0011,0.108,0.3361,6.65E-04,2.5183,0.472,0.3852,0.0017,0.108,0.58,0.2577,0.2074,0.001,0.108,0.3657,6.65E-04,4.3694,0.2073,0.174,6.68E-04,0.108,0.3153,0.3878,0.2759,0.0022,0.1081,0.4959,6.65E-04,4.4337,1.0207,0.6988,0.0064,0.1081,1.1288,0.1999,0.1545,0.000908,0.1079,0.3078,0.000665,2.1562,0.329,0.236,0.0019,0.1079,0.437,0.2577,0.2074,0.001,0.108,0.3657,6.65E-04,4.3694,0.2073,0.174,6.68E-04,0.108,0.3153,0.2167,0.1606,0.0011,0.108,0.3248,6.65E-04,3.1162,0.5195,0.3658,0.0031,0.108,0.6275
77,0.223,0.1743,9.75E-04,0.108,0.331,6.12E-04,4.1066,0.3463,0.2686,0.0016,0.108,0.4543,0.3788,0.2718,0.0021,0.1081,0.4869,6.12E-04,5.2226,0.5366,0.3337,0.0041,0.1081,0.6448,0.2331,0.1797,0.0011,0.1082,0.3412,6.12E-04,2.5285,0.4581,0.2938,0.0033,0.1082,0.5662,0.248,0.1871,0.0012,0.108,0.3559,6.12E-04,3.732,0.479,0.3902,0.0018,0.108,0.5869,0.2441,0.1934,0.001,0.108,0.3521,6.12E-04,3.0538,0.2072,0.1744,6.57E-04,0.108,0.3152,0.4208,0.2904,0.0026,0.1081,0.5289,6.12E-04,4.3287,1.0201,0.6979,0.0064,0.1081,1.1282,0.3061,0.237,0.0014,0.1079,0.4141,0.000612,4.4649,0.3191,0.2266,0.0018,0.1079,0.4271,0.2441,0.1934,0.001,0.108,0.3521,6.12E-04,3.0538,0.2072,0.1744,6.57E-04,0.108,0.3152,0.1862,0.1451,8.23E-04,0.108,0.2942,6.12E-04,1.8474,0.5047,0.3558,0.003,0.108,0.6127
78,0.2121,0.1662,9.19E-04,0.108,0.3201,5.61E-04,2.86,0.3692,0.2892,0.0016,0.108,0.4772,0.3756,0.2501,0.0025,0.1081,0.4837,5.61E-04,4.7314,0.5313,0.3296,0.004,0.1081,0.6394,0.2593,0.1806,0.0016,0.1082,0.3675,5.61E-04,3.2629,0.451,0.2923,0.0032,0.1082,0.5592,0.2033,0.1566,9.32E-04,0.108,0.3112,5.61E-04,2.3509,0.4791,0.3907,0.0018,0.108,0.5871,0.2052,0.1667,7.70E-04,0.108,0.3132,5.61E-04,2.3951,0.2044,0.1744,5.98E-04,0.108,0.3124,0.3784,0.2556,0.0025,0.1081,0.4865,5.61E-04,4.4098,1.0134,0.695,0.0064,0.1081,1.1215,0.2125,0.1613,0.001,0.1079,0.3204,0.000561,2.6644,0.3077,0.2181,0.0018,0.1079,0.4157,0.2052,0.1667,7.70E-04,0.108,0.3132,5.61E-04,2.3951,0.2044,0.1744,5.98E-04,0.108,0.3124,0.2005,0.1497,0.001,0.108,0.3086,5.61E-04,3.4707,0.4942,0.3487,0.0029,0.108,0.6022
